Report Date,Sales,Raw Material Cost,Change in Inventory,Power and Fuel,Other Mfr. Exp,Employee Cost,Selling and admin,Other Expenses,Other Income,Depreciation,Interest,Profit before tax,Tax,Net profit,Dividend Amount,Company,Equity Share Capital,Reserves,Borrowings,Other Liabilities,Total,Total,Net Block,Capital Work in Progress,Investments,Other Assets,Total,Total,Receivables,Inventory,Cash & Bank,No. of Equity Shares,New Bonus Shares,Face value,Cash from Operating Activity,Cash from Investing Activity,Cash from Financing Activity,Net Cash Flow,PRICE:
2012-03-31 00:00:00,2714.62,,,4.8,7.78,265.87,282.69,359.2,1190.16,14.12,744.1,2226.22,336.47,1337.77,21.7,BAJAJ FINSERV LTD,72.34,5026.67,10201.43,44153.93,59454.37,59454.37,817.78,18.01,43505.57,15113.01,59454.37,59454.37,271.33,,1046.6,144683510.0,,5.0,-3848.57,-887.31,3803.09,-932.79,600.78
2013-03-31 00:00:00,8055.15,,,8.89,8.83,335.8,303.14,3467.17,2.06,21.69,1203.58,2708.11,493.94,1573.64,23.87,BAJAJ FINSERV LTD,79.56,7723.53,12990.73,44576.4,65370.22,65370.22,1207.87,1.79,43250.91,20909.65,65370.22,65370.22,353.02,,1603.11,159122352.0,,5.0,-6921.7,2952.71,4592.48,623.49,771.55
2014-03-31 00:00:00,6022.6,,,,8.89,445.75,365.18,711.39,2.97,30.88,1561.87,2901.61,710.49,1544.27,27.85,BAJAJ FINSERV LTD,79.56,9231.59,19506.85,45565.2,74383.2,74383.2,1262.42,1.38,45314.25,27805.15,74383.2,74383.2,370.38,,2060.99,159122352.0,,5.0,-9807.38,3763.94,6521.46,478.02,788.05
2015-03-31 00:00:00,11334.79,,,,20.07,580.39,470.74,4752.29,7.52,38.15,2229.58,3251.09,841.94,1689.79,27.85,BAJAJ FINSERV LTD,79.56,10885.08,26312.09,50951.72,88228.45,88228.45,1260.67,2.76,51366.55,35598.47,88228.45,88228.45,541.45,,1408.54,159125200.0,,5.0,-10731.11,3709.28,6838.77,-183.06,1414.55
2016-03-31 00:00:00,20533.28,,,,22.98,771.22,521.25,12479.2,0.09,57.72,2876.95,3804.05,1029.51,1863.27,27.85,BAJAJ FINSERV LTD,79.57,13311.54,36062.09,54497.56,103950.76,103950.76,1273.54,10.76,53697.8,48968.66,103950.76,103950.76,680.77,,2167.51,159131453.0,,5.0,-9795.15,-885.83,11601.63,920.65,1711.1
2017-03-31 00:00:00,24507.3,,,,27.13,1003.97,661.03,14101.89,0.16,72.63,3716.28,4924.53,1474.82,2261.92,27.85,BAJAJ FINSERV LTD,79.57,15736.5,48282.04,64515.55,128613.66,128613.66,1645.4,3.54,62658.46,64306.26,128613.66,128613.66,1253.12,,1498.67,159131780.0,,5.0,-10922.24,151.3,12512.74,1741.8,4098.4
2018-03-31 00:00:00,32862.46,,,,1400.74,2749.4,1822.37,16101.84,1.49,159.89,4531.0,6098.71,1922.36,2650.26,27.85,BAJAJ FINSERV LTD,79.57,20403.37,65694.72,75336.6,161514.26,161514.26,1791.85,27.7,69428.48,90266.23,161514.26,161514.26,1753.28,,1606.44,159135097.0,,5.0,-19580.16,-921.5,19590.17,-911.49,5171.55
2019-03-31 00:00:00,42605.4,,,40.9,19290.57,3807.61,2125.92,2303.7,1.53,226.09,6657.4,8154.74,2780.89,3219.04,39.78,BAJAJ FINSERV LTD,79.57,23660.5,99754.35,84933.76,208428.18,208428.18,2096.83,65.51,81679.06,124586.78,208428.18,208428.18,2273.08,,1588.89,159136111.0,,5.0,-27076.37,-6903.41,34534.82,555.04,7037.05
2020-03-31 00:00:00,54351.37,,,9.6,23739.27,4763.12,2841.03,4740.65,0.36,456.79,9499.61,8301.66,2308.06,3369.13,79.57,BAJAJ FINSERV LTD,79.57,31221.68,127212.03,92790.87,251304.15,251304.15,3215.62,44.69,91821.05,156222.79,251304.15,251304.15,2657.81,,2525.23,159137290.0,,5.0,-23369.03,-9948.0,34479.35,1162.32,4591.2
2021-03-31 00:00:00,60591.52,,,9.08,27447.36,4704.41,2381.91,6407.47,-6.87,498.46,9273.62,9862.34,2494.96,4470.46,47.74,BAJAJ FINSERV LTD,79.57,35750.43,128460.85,115553.86,279844.71,279844.71,3182.1,128.85,113654.41,162879.35,279844.71,279844.71,2512.12,,3410.49,159137290.0,,5.0,4547.4,-3683.8,1686.95,2550.55,9668.6
